StartDate,EndDate,marktprijs
2024-01-03 07:00:00.0000000 +01:00,2024-01-03 08:00:00.0000000 +01:00,0.04063000000
2024-01-03 08:00:00.0000000 +01:00,2024-01-03 09:00:00.0000000 +01:00,0.06830000000
2024-01-03 09:00:00.0000000 +01:00,2024-01-03 10:00:00.0000000 +01:00,0.07590000000
2024-01-03 10:00:00.0000000 +01:00,2024-01-03 11:00:00.0000000 +01:00,0.07320000000
2024-01-03 11:00:00.0000000 +01:00,2024-01-03 12:00:00.0000000 +01:00,0.06920000000
2024-01-03 12:00:00.0000000 +01:00,2024-01-03 13:00:00.0000000 +01:00,0.06000000000
2024-01-03 13:00:00.0000000 +01:00,2024-01-03 14:00:00.0000000 +01:00,0.05886000000
2024-01-03 14:00:00.0000000 +01:00,2024-01-03 15:00:00.0000000 +01:00,0.06086000000
2024-01-03 15:00:00.0000000 +01:00,2024-01-03 16:00:00.0000000 +01:00,0.07600000000
2024-01-03 16:00:00.0000000 +01:00,2024-01-03 17:00:00.0000000 +01:00,0.07900000000
2024-01-03 17:00:00.0000000 +01:00,2024-01-03 18:00:00.0000000 +01:00,0.10100000000
2024-01-03 18:00:00.0000000 +01:00,2024-01-03 19:00:00.0000000 +01:00,0.11460000000
2024-01-03 19:00:00.0000000 +01:00,2024-01-03 20:00:00.0000000 +01:00,0.10000000000
2024-01-03 20:00:00.0000000 +01:00,2024-01-03 21:00:00.0000000 +01:00,0.07323000000
2024-01-03 21:00:00.0000000 +01:00,2024-01-03 22:00:00.0000000 +01:00,0.06741000000
2024-01-03 22:00:00.0000000 +01:00,2024-01-03 23:00:00.0000000 +01:00,0.06500000000
2024-01-03 23:00:00.0000000 +01:00,2024-01-04 00:00:00.0000000 +01:00,0.05812000000
2024-01-04 00:00:00.0000000 +01:00,2024-01-04 01:00:00.0000000 +01:00,0.05730000000
2024-01-04 01:00:00.0000000 +01:00,2024-01-04 02:00:00.0000000 +01:00,0.05046000000
2024-01-04 02:00:00.0000000 +01:00,2024-01-04 03:00:00.0000000 +01:00,0.04000000000
2024-01-04 03:00:00.0000000 +01:00,2024-01-04 04:00:00.0000000 +01:00,0.02548000000
2024-01-04 04:00:00.0000000 +01:00,2024-01-04 05:00:00.0000000 +01:00,0.03500000000
2024-01-04 05:00:00.0000000 +01:00,2024-01-04 06:00:00.0000000 +01:00,0.05773000000
2024-01-04 06:00:00.0000000 +01:00,2024-01-04 07:00:00.0000000 +01:00,0.07265000000
2024-01-04 07:00:00.0000000 +01:00,2024-01-04 08:00:00.0000000 +01:00,0.08502000000
2024-01-04 08:00:00.0000000 +01:00,2024-01-04 09:00:00.0000000 +01:00,0.09147000000
2024-01-04 09:00:00.0000000 +01:00,2024-01-04 10:00:00.0000000 +01:00,0.09420000000
2024-01-04 10:00:00.0000000 +01:00,2024-01-04 11:00:00.0000000 +01:00,0.09161000000
2024-01-04 11:00:00.0000000 +01:00,2024-01-04 12:00:00.0000000 +01:00,0.09003000000
2024-01-04 12:00:00.0000000 +01:00,2024-01-04 13:00:00.0000000 +01:00,0.08628000000
2024-01-04 13:00:00.0000000 +01:00,2024-01-04 14:00:00.0000000 +01:00,0.08596000000
2024-01-04 14:00:00.0000000 +01:00,2024-01-04 15:00:00.0000000 +01:00,0.09211000000
2024-01-04 15:00:00.0000000 +01:00,2024-01-04 16:00:00.0000000 +01:00,0.09862000000
2024-01-04 16:00:00.0000000 +01:00,2024-01-04 17:00:00.0000000 +01:00,0.10445000000
2024-01-04 17:00:00.0000000 +01:00,2024-01-04 18:00:00.0000000 +01:00,0.13021000000
2024-01-04 18:00:00.0000000 +01:00,2024-01-04 19:00:00.0000000 +01:00,0.14067000000
2024-01-04 19:00:00.0000000 +01:00,2024-01-04 20:00:00.0000000 +01:00,0.12310000000
